,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,2024
KAB TIMOR TENGAH SELATAN,2.91,2.91,2.91,2.91,2.91,2.91,-,-,-,-,-,-,-,18.68,18.68,18.68,18.68,18.68,18.68,-,-,-,-,-,-,-,3.3,3.3,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
MAUMERE,4.56,4.56,4.56,4.56,4.56,4.56,-,-,-,-,-,-,-,2.09,2.09,2.09,2.09,2.09,2.09,-,-,-,-,-,-,-,10.73,10.73,10.73,10.73,10.73,10.73,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB NGADA,3.09,3.09,3.09,3.09,3.09,3.09,-,-,-,-,-,-,-,3.91,3.91,3.91,3.91,3.91,3.91,-,-,-,-,-,-,-,5.6,5.6,5.6,5.6,5.6,5.6,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA KUPANG,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB KETAPANG,0.37,0.37,0.37,0.37,0.37,0.37,-,-,-,-,-,-,-,0.57,0.57,0.57,0.57,0.57,0.57,-,-,-,-,-,-,-,0.46,0.46,0.46,0.46,0.46,0.46,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.97,0.97,0.97,0.97,0.97,0.97,-,-,-,-,-,-,-,2025.0
SINTANG,0.0,0,0,0.65,0.65,0.65,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,4.34,4.34,4.34,-,-,-,-,-,-,-,2025.0
KAB KAYONG UTARA,0.2,0.2,0.2,0.2,0.2,0.2,-,-,-,-,-,-,-,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-,0.73,0.73,0.73,0.73,0.73,0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KOTA PONTIANAK,3.81,3.13,3.13,3.13,3.13,3.3,-,-,-,-,-,-,-,4.26,4.26,4.26,4.26,4.26,4.26,-,-,-,-,-,-,-,2.47,2.47,2.47,2.47,2.47,2.47,-,-,-,-,-,-,-,4.45,4.45,4.45,4.45,4.45,4.45,-,-,-,-,-,-,-,4.26,0.27,0.27,0.27,0.27,1.31,-,-,-,-,-,-,-,2025.0
KOTA SINGKAWANG,1.22,1.22,1.22,1.22,1.68,1.68,-,-,-,-,-,-,-,1.51,1.51,1.51,1.51,1.51,1.51,-,-,-,-,-,-,-,2.63,2.63,2.63,2.63,2.63,2.63,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,2.74,2.74,-,-,-,-,-,-,-,2025.0
SAMPIT,5.37,5.37,5.37,5.37,5.37,5.2,-,-,-,-,-,-,-,4.19,4.19,4.19,4.19,4.19,3.61,-,-,-,-,-,-,-,5.77,5.77,5.77,5.77,5.77,5.77,-,-,-,-,-,-,-,10.7,10.7,10.7,10.7,10.7,10.7,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB KAPUAS,0.59,0.59,0.59,0.59,0.59,0.59,-,-,-,-,-,-,-,2.07,2.07,2.07,2.07,2.07,2.07,-,-,-,-,-,-,-,0.17,0.17,0.17,0.17,0.17,0.17,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB SUKAMARA,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA PALANGKARAYA,1.32,1.28,1.28,1.28,1.28,1.28,-,-,-,-,-,-,-,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-,-,-,-,-,-,-,1.24,1.12,1.12,1.12,1.12,1.12,-,-,-,-,-,-,-,1.29,1.29,1.29,1.29,1.29,1.29,-,-,-,-,-,-,-,8.47,8.47,8.47,8.47,8.47,8.47,-,-,-,-,-,-,-,2025.0
KAB TANAH LAUT,0.0,0,0,0,0,1.69,-,-,-,-,-,-,-,0.0,0,0,0,0,3.67,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTABARU,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB HULU SUNGAI TENGAH,3.41,3.41,3,3,3,3,-,-,-,-,-,-,-,6.61,6.61,6.61,6.61,6.61,6.61,-,-,-,-,-,-,-,4.2,4.2,4.2,4.2,4.2,4.2,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,3.66,3.66,2.18,2.18,2.18,2.18,-,-,-,-,-,-,-,2025.0
TANJUNG,6.03,6.03,6.03,6.03,6.03,6.03,-,-,-,-,-,-,-,15.01,15.01,15.01,15.01,15.01,15.01,-,-,-,-,-,-,-,0.14,0.14,0.14,0.14,0.14,0.14,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.35,0.35,0.35,0.35,0.35,0.35,-,-,-,-,-,-,-,2025.0
KOTA BANJARMASIN,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,3.64,3.64,3.64,3.64,3.64,3.64,-,-,-,-,-,-,-,0.98,0.98,0.98,0.98,0.98,0.98,-,-,-,-,-,-,-,0.92,0.92,0.92,0.92,0.92,0.92,-,-,-,-,-,-,-,0.66,0.66,0.66,0.66,0.66,0.66,-,-,-,-,-,-,-,2025.0
KAB BERAU,1.68,1.68,1.68,1.68,1.68,1.68,-,-,-,-,-,-,-,4.33,4.33,4.33,4.33,4.33,4.33,-,-,-,-,-,-,-,1.77,1.77,1.77,1.77,1.77,1.77,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB PENAJAM PASER UTARA,1.21,1.21,1.21,1.21,1.21,1.21,-,-,-,-,-,-,-,2.05,2.05,2.05,2.05,2.05,2.05,-,-,-,-,-,-,-,4.05,4.05,4.05,4.05,4.05,4.05,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA BALIKPAPAN,1.45,1.45,1.45,1.45,1.45,3.7,-,-,-,-,-,-,-,3.06,3.06,3.06,3.06,3.06,3.07,-,-,-,-,-,-,-,2.0,2,2,2,2,2,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.86,0.86,0.86,0.86,0.86,13.36,-,-,-,-,-,-,-,2025.0
KOTA SAMARINDA,1.76,1.26,1.26,1.26,1.46,1.46,-,-,-,-,-,-,-,3.69,3.69,3.69,3.69,3.69,3.69,-,-,-,-,-,-,-,0.86,0.74,0.74,0.74,0.74,0.74,-,-,-,-,-,-,-,1.24,0,0,0,0,0,-,-,-,-,-,-,-,0.89,1.17,1.17,1.17,2.35,2.35,-,-,-,-,-,-,-,2025.0
TANJUNG SELOR,0.0,0,0.18,0.18,0.18,0.18,-,-,-,-,-,-,-,0.0,0,0.5,0.5,0.5,0.5,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB NUNUKAN,0.7,0.7,1.64,1.64,1.74,1.74,-,-,-,-,-,-,-,0.89,0.89,0.89,0.89,0.89,0.89,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,5.48,5.48,15.74,15.74,16.85,16.85,-,-,-,-,-,-,-,2025.0
KOTA TARAKAN,0.48,0.48,0.48,0.48,0.48,0.48,-,-,-,-,-,-,-,1.52,1.52,1.52,1.52,1.52,1.52,-,-,-,-,-,-,-,0.38,0.38,0.38,0.38,0.38,0.38,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB MINAHASA SELATAN,0.0,0,0.01,0.01,0.01,0.02,-,-,-,-,-,-,-,0.0,0,0.08,0.08,0.08,0.22,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB MINAHASA UTARA,14.11,13.81,13.81,13.81,13.81,13.81,-,-,-,-,-,-,-,1.45,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,26.97,26.97,26.97,26.97,26.97,26.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA MANADO,0.56,0.56,0.56,0.56,0.56,0.56,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,17.39,17.39,17.39,17.39,17.39,17.39,-,-,-,-,-,-,-,2025.0
KOTA KOTAMOBAGU,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-,-,-,-,-,-,-,1.1,1.1,1.1,1.1,1.1,1.1,-,-,-,-,-,-,-,2.04,2.04,2.04,2.04,2.04,2.04,-,-,-,-,-,-,-,-27,-27,-27,-27,-27,-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
LUWUK,2.73,2.73,2.73,2.73,2.73,2.73,-,-,-,-,-,-,-,1.77,1.77,1.77,1.77,1.77,1.77,-,-,-,-,-,-,-,0.7,0.7,0.7,0.7,0.7,0.7,-,-,-,-,-,-,-,3.3,3.3,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB MOROWALI,0.42,0.42,0.42,0.42,0.42,0.42,-,-,-,-,-,-,-,0.89,0.89,0.89,0.89,0.89,0.89,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB TOLI TOLI,0.19,0.19,0.19,0.19,0.19,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.93,0.93,0.93,0.93,0.93,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA PALU,5.04,5.13,5.13,5.17,5.23,5.18,-,-,-,-,-,-,-,3.88,4.33,4.33,4.33,4.33,3.88,-,-,-,-,-,-,-,0.38,0.38,0.38,0.38,0.38,0.38,-,-,-,-,-,-,-,7.47,7.47,7.47,7.47,7.47,7.47,-,-,-,-,-,-,-,1.31,1.31,1.35,1.83,2.51,2.96,-,-,-,-,-,-,-,2025.0
BULUKUMBA,2.2,2.58,2.58,2.58,2.58,2.58,-,-,-,-,-,-,-,5.15,9.57,9.57,9.57,9.57,9.57,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,2.96,2.96,2.96,2.96,2.96,2.96,-,-,-,-,-,-,-,0.87,0.87,0.87,0.87,0.87,0.87,-,-,-,-,-,-,-,2025.0
WATAMPONE,0.52,0.43,0.43,0.43,0.2,0.2,-,-,-,-,-,-,-,2.46,2.46,2.46,2.46,1.15,1.15,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,0.68,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB WAJO,2.05,2.05,2.05,2.05,2.05,2.05,-,-,-,-,-,-,-,7.14,7.14,7.14,7.14,7.14,7.14,-,-,-,-,-,-,-,1.48,1.48,1.48,1.48,1.48,1.48,-,-,-,-,-,-,-,1.27,1.27,1.27,1.27,1.27,1.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB SIDENRENG RAPPANG,0.15,0.15,0.15,0.15,0.15,0.15,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.26,0.26,0.26,0.26,0.26,0.26,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB LUWU TIMUR,0.24,0.28,0.28,0.28,0.28,0.28,-,-,-,-,-,-,-,1.54,1.66,1.66,1.66,1.66,1.66,-,-,-,-,-,-,-,0.1,0.19,0.19,0.19,0.19,0.19,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA MAKASSAR,1.17,0.93,0.93,0.93,0.93,1.25,-,-,-,-,-,-,-,2.23,2.1,2.1,2.1,2.1,2.1,-,-,-,-,-,-,-,0.25,-0.17,-0.17,-0.17,-0.17,-0.17,-,-,-,-,-,-,-,0.69,0.69,0.69,0.69,0.69,0.73,-,-,-,-,-,-,-,3.92,2.08,2.08,2.08,2.08,6.15,-,-,-,-,-,-,-,2025.0
KOTA PARE PARE,2.67,2.67,2.73,2.73,2.73,2.73,-,-,-,-,-,-,-,0.74,0.74,0.74,0.74,0.74,0.74,-,-,-,-,-,-,-,0.03,0.03,0.03,0.03,0.03,0.04,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,15.16,15.16,15.56,15.56,15.56,15.56,-,-,-,-,-,-,-,2025.0
KOTA PALOPO,2.04,2.04,2.04,2.04,2.04,2.04,-,-,-,-,-,-,-,0.8,0.8,0.8,0.8,0.8,0.8,-,-,-,-,-,-,-,0.36,0.36,0.36,0.36,0.36,0.36,-,-,-,-,-,-,-,2.13,2.13,2.13,2.13,2.13,2.13,-,-,-,-,-,-,-,5.32,5.32,5.32,5.32,5.32,5.32,-,-,-,-,-,-,-,2025.0
KAB KONAWE,0.3,0.3,0.3,0.3,0.3,0.3,-,-,-,-,-,-,-,2.18,2.18,2.18,2.18,2.18,2.18,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB KOLAKA,1.2,1.23,1.23,1.13,1.13,1.13,-,-,-,-,-,-,-,2.09,2.78,2.78,0.68,0.68,0.68,-,-,-,-,-,-,-,8.33,8.33,8.33,8.33,8.33,8.33,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA KENDARI,1.52,1.49,1.49,1.85,1.95,2.27,-,-,-,-,-,-,-,0.21,0.36,0.36,0.36,0.36,0.21,-,-,-,-,-,-,-,1.73,1.73,1.73,1.73,1.73,1.73,-,-,-,-,-,-,-,0.95,0.95,0.95,0.95,0.95,1.52,-,-,-,-,-,-,-,12.4,10.98,10.98,17.49,19.37,19.37,-,-,-,-,-,-,-,2025.0
KOTA BAU BAU,0.39,0.39,0.39,0.39,0.39,0.39,-,-,-,-,-,-,-,7.26,7.26,7.26,7.26,7.26,7.26,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB GORONTALO,0.54,0.54,0.54,0.54,0.54,0.54,-,-,-,-,-,-,-,2.4,2.4,2.4,2.4,2.4,2.4,-,-,-,-,-,-,-,0.07,0.11,0.11,0.11,0.11,0.11,-,-,-,-,-,-,-,0.3,0.3,0.3,0.3,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA GORONTALO,0.55,0.55,0.55,0.55,0.58,0.58,-,-,-,-,-,-,-,1.37,1.37,1.37,1.37,1.37,1.37,-,-,-,-,-,-,-,0.31,0.31,0.31,0.31,0.31,0.31,-,-,-,-,-,-,-,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-,-,-,-,1.71,1.71,1.71,1.71,2.59,2.59,-,-,-,-,-,-,-,2025.0
KAB MAJENE,0.71,0.71,0.71,0.71,0.71,0.71,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
MAMUJU,4.72,4.72,4.72,4.72,4.72,4.72,-,-,-,-,-,-,-,4.56,4.56,4.56,4.56,4.56,4.56,-,-,-,-,-,-,-,0.57,0.57,0.57,0.57,0.57,0.57,-,-,-,-,-,-,-,7.62,7.62,7.62,7.62,7.62,7.62,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB MALUKU TENGAH,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA AMBON,1.18,1.18,1.18,1.08,1.08,1.02,-,-,-,-,-,-,-,3.27,3.27,3.27,3.27,3.27,3.27,-,-,-,-,-,-,-,1.3,1.3,1.3,1.3,1.3,1.3,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,4.66,4.66,4.66,3.19,3.19,2.43,-,-,-,-,-,-,-,2025.0
KOTA TUAL,0.0,0,0,0,0.08,0.08,-,-,-,-,-,-,-,0.0,0,0,0,0.78,0.78,-,-,-,-,-,-,-,0.0,0,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB HALMAHERA TENGAH,1.96,1.96,1.96,1.96,1.96,-53.49,-,-,-,-,-,-,-,0.23,0.23,0.23,0.23,0.23,0.23,-,-,-,-,-,-,-,2.4,2.4,2.4,2.4,2.4,-67.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA TERNATE,1.82,2.56,2.56,2.56,2.56,-16.32,-,-,-,-,-,-,-,4.83,7.83,7.83,7.83,7.83,7.83,-,-,-,-,-,-,-,0.72,0.72,0.72,0.72,0.72,-66.58,-,-,-,-,-,-,-,1.1,1.1,1.1,1.1,1.1,1.1,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
MANOKWARI,4.54,6.16,6.3,6.3,6.3,6.3,-,-,-,-,-,-,-,8.41,8.41,8.41,8.41,8.41,8.41,-,-,-,-,-,-,-,4.57,10.75,10.75,10.75,10.75,10.75,-,-,-,-,-,-,-,2.15,2.15,2.52,2.52,2.52,2.52,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
KAB SORONG,0.69,0.69,0.69,0.69,0.69,0.69,-,-,-,-,-,-,-,1.27,1.27,1.27,1.27,1.27,1.27,-,-,-,-,-,-,-,1.72,1.72,1.72,1.72,1.72,1.72,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB SORONG SELATAN,1.92,1.92,1.92,1.92,1.92,1.92,-,-,-,-,-,-,-,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-,-,-,-,1.16,1.16,1.16,1.16,1.16,1.16,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KOTA SORONG,-0.61,-0.36,-0.36,-0.36,-0.36,-0.36,-,-,-,-,-,-,-,0.24,0.24,0.24,0.24,0.24,0.24,-,-,-,-,-,-,-,-2.28,-2.28,-2.28,-2.28,-2.28,-2.28,-,-,-,-,-,-,-,0.43,0.43,0.43,0.43,0.43,0.43,-,-,-,-,-,-,-,0,10.69,10.69,10.69,10.69,10.69,-,-,-,-,-,-,-,2025.0
KOTA JAYAPURA,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,-,-,-,-,3.79,3.79,3.79,3.79,3.79,3.79,-,-,-,-,-,-,-,-4.67,-4.67,-4.67,-4.67,-4.67,-4.67,-,-,-,-,-,-,-,3.94,3.94,3.94,3.94,3.94,3.94,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,2025.0
MERAUKE,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,-,-,-,-,-,-,-,-16.48,-16.48,-16.48,-16.48,-16.48,-16.48,-,-,-,-,-,-,-,0.62,0.62,0.62,0.62,0.62,0.62,-,-,-,-,-,-,-,11.11,11.11,11.11,11.11,11.11,11.11,-,-,-,-,-,-,-,7.38,7.38,7.38,7.38,7.38,7.38,-,-,-,-,-,-,-,2025.0
TIMIKA,1.09,1.09,1.09,1.09,1.09,0.2,-,-,-,-,-,-,-,2.67,2.67,2.67,2.67,2.67,0.37,-,-,-,-,-,-,-,0.14,0.14,0.14,0.14,0.14,0.14,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB NABIRE,1.96,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,0.71,0.71,0.71,0.71,0.71,0.71,-,-,-,-,-,-,-,3.81,4.74,4.74,4.74,4.74,4.74,-,-,-,-,-,-,-,1.58,1.58,1.58,1.58,1.58,1.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
KAB JAYAWIJAYA,1.82,3.15,3.15,3.15,3.15,3.15,-,-,-,-,-,-,-,2.47,2.47,2.47,2.47,2.47,2.47,-,-,-,-,-,-,-,2.15,3.95,3.95,3.95,3.95,3.95,-,-,-,-,-,-,-,0,3.69,3.69,3.69,3.69,3.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025.0
INDONESIA,2.05,2.04,1.89,1.88,1.88,1.82,-,-,-,-,-,-,-,2.73,2.74,2.74,2.74,2.74,2.74,-,-,-,-,-,-,-,1.69,1.69,1.69,1.69,1.69,1.27,-,-,-,-,-,-,-,1.41,1.39,1.39,1.39,1.39,1.4,-,-,-,-,-,-,-,3.79,3.7,2.35,2.18,2.23,2.75,-,-,-,-,-,-,-,2025.0
